Journal title,Alternative title,Publisher,Society or institution,Country of publisher,Journal article processing charges (APCs),APC amount,Currency,Journal article submission fee,Submission fee amount,Submission fee currency,First calendar year journal provided online Open Access content,Full text language,Review process,Average number of weeks between submission and publication,Journal license,License attributes,Author holds copyright without restrictions,Author holds publishing rights without restrictions
Conservation Letters,,Wiley,Society for Conservation Biology,United States,Yes,1850,USD - US Dollar,,,,2015,English,Peer review,4,CC BY,,FALSE,FALSE
International Archives of Medicine,,International Medical Society,,United States,Yes,600,EUR - Euro,,,,2008,English,Double blind peer review,4,CC BY,,TRUE,TRUE
Therapeutic Advances in Gastroenterology,,SAGE Publishing,,United States,Yes,2000,USD - US Dollar,,,,2018,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Therapeutic Advances in Neurological Disorders,,SAGE Publishing,,United States,Yes,2000,USD - US Dollar,,,,2017,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Journal of the International AIDS Society ,JIAS,Wiley,International AIDS Society,United States,Yes,2400,USD - US Dollar,,,,2004,English,Blind peer review,25,CC BY,,TRUE,TRUE
Therapeutic Advances in Medical Oncology,,SAGE Publishing,,United States,Yes,2000,USD - US Dollar,,,,2017,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
ASN Neuro,,SAGE Publishing,American Society for Neurochemistry,United States,Yes,1950,USD - US Dollar,,,,2009,English,Double blind peer review,12,CC BY,,FALSE,FALSE
Quantitative Economics,QE,Econometric Society ,,United States,No,,,,,,2010,English,Peer review,52,CC BY-NC,,TRUE,TRUE
Asian Highlands Perspectives ,AHP,Asian Highlands Perspectives ,,United States,No,,,,,,2009,"Chinese, English, Tibetan",Double blind peer review,52,CC BY-NC,,TRUE,TRUE
International Journal of Orientation and Mobility,,Exeley Inc.,Guide Dogs NSW/ACT,United States,No,,,,,,2008,English,Double blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
Journal of the Southeast Asian Linguistics Society,JSEALS,University of Hawaii Press,Southeast Asian Linguistics Society,United States,No,,,,,,2009,English,Double blind peer review,15,CC BY-NC-ND,,TRUE,TRUE
Evidence Base,,Exeley Inc,Australia and New Zealand School of Government,United States,No,,,,,,2012,English,Double blind peer review,24,CC BY-NC-ND,,TRUE,TRUE
Genocide Studies and Prevention: An International Journal,,International Association of Genocide Scholars,,United States,No,,,,,,2013,English,Double blind peer review,24,CC BY-NC,,TRUE,TRUE
International Journal of Therapeutic Massage and Bodywork,,Massage Therapy Foundation,Massage Therapy Foundation,United States,No,,,,,,2008,English,Double blind peer review,22,CC BY-NC-ND,,FALSE,FALSE
Radiology Case Reports,,Elsevier,University of Washington,United States,Yes,500,USD - US Dollar,,,,2006,English,Double blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
LL Journal,,"The Graduate Center, The City University of New York","The Graduate Center, The City University of New York",United States,No,,,,,,2005,"English, Portuguese, Spanish; Castilian",Peer review,8,CC BY-NC,,FALSE,FALSE
Animation Studies,,Society for Animation Studies,,United States,No,,,,,,2006,English,Double blind peer review,50,CC BY-NC-ND,,FALSE,FALSE
BioResources,,North Carolina State University,,United States,Yes,1452,USD - US Dollar,,,,2006,English,Blind peer review,6,Publisher's own license,"Attribution, No Commercial Usage",TRUE,TRUE
Judgment and Decision Making,,Society for Judgment and Decision Making,Society for Judgment and Decision Making and European Association for Decision Making,United States,No,,,,,,2006,English,Peer review,12,CC BY,,FALSE,FALSE
Studies in Christian-Jewish Relations,,Boston College Libraries and Center for Christian-Jewish Learning,,United States,No,,,,,,2005,English,Blind peer review,16,CC BY,,TRUE,TRUE
Journal of the National Council of Less Commonly Taught Languages,Journal of Less Commonly Taught Languages,National Council of Less Commonly Taught Languages,National Council of Less Commonly Taught Languages,United States,No,,,,,,2010,English,Double blind peer review,20,CC BY,,FALSE,FALSE
International Journal for the Scholarship of Teaching and Learning,IJ-SoTL,Georgia Southern University,,United States,No,,,,,,2007,English,Double blind peer review,18,CC BY-NC-ND,,TRUE,TRUE
The New School Psychology Bulletin,NSPB,New School University,,United States,No,,,,,,2003,English,Double blind peer review,30,CC BY,,FALSE,FALSE
PLoS ONE,PLOS ONE,Public Library of Science (PLoS),,United States,Yes,1495,USD - US Dollar,,,,2006,English,Peer review,24,CC BY,,TRUE,TRUE
Journal of Problem Solving,,Purdue University Press,,United States,Yes,500,USD - US Dollar,,,,2006,English,Double blind peer review,17,CC BY-NC-ND,,FALSE,FALSE
Cities and the Environment,CATE,Loyola Marymount University,,United States,No,,,,,,2008,English,Double blind peer review,5,CC BY,,TRUE,TRUE
Journal for Learning through the Arts,,"eScholarship Publishing, University of California","University of California, Irvine",United States,No,,,,,,2005,English,Double blind peer review,32,Publisher's own license,Attribution,TRUE,TRUE
Contemporary Aesthetics,CA,"Contemporary Aesthetics, Inc.",,United States,No,,,,,,2003,English,Blind peer review,6,CC BY-NC,,FALSE,FALSE
InSight : A Journal of Scholarly Teaching,InSight : A Collection of Faculty Scholarship,Park University,Center for Excellence in Teaching and Learning (CETL),United States,No,,,,,,2006,English,Double blind peer review,16,CC BY-NC-ND,,FALSE,FALSE
Communications in Information Literacy,CIL,Communications in Information Literacy,,United States,No,,,,,,2007,English,Double blind peer review,16,CC BY-NC-SA,,TRUE,TRUE
Theoretical Economics,,Econometric Society,,United States,No,,,,,,2006,English,Peer review,52,CC BY-NC,,TRUE,TRUE
Impulse: The Premier Undergraduate Neuroscience Journal,,Appalachian State University Honors College,,United States,No,,,,,,2004,English,Peer review,4,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",TRUE,TRUE
Language Documentation and Conservation,,University of Hawai‘i Press,University of Hawaii,United States,No,,,,,,2012,"English, Spanish; Castilian",Double blind peer review,20,CC BY-NC-ND,,TRUE,TRUE
Himalaya,Himalaya: The Journal of the Association for Nepal and Himalayan Studies,Nepal Studies Association,Association for Nepal and Himalayan Studies,United States,No,,,,,,1980,English,Double blind peer review,26,CC BY-NC-ND,,FALSE,FALSE
PLoS Neglected Tropical Diseases,,Public Library of Science (PLoS),,United States,Yes,2250,USD - US Dollar,,,,2007,English,Peer review,23,CC BY,,TRUE,TRUE
Tennessee Libraries,,Tennessee Library Association,,United States,No,,,,,,1989,English,Blind peer review,8,CC BY-NC,,TRUE,TRUE
Journal of Microbiology and Biology Education,JMBE,American Society for Microbiology,,United States,No,,,,,,2000,English,Blind peer review,22,CC BY-NC-ND,,TRUE,TRUE
The African Journal of Information Systems,AJIS,Kennesaw State University,,United States,No,,,,,,2008,"English, French",Double blind peer review,30,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Numeracy,Electronic Journal of the National Numeracy Network,National Numeracy Network,National Numeracy Network,United States,No,,,,,,2008,English,Blind peer review,12,CC BY-NC,,TRUE,TRUE
International Journal of the Analytic Hierarchy Process,IJAHP,Creative Decisions Foundation,Creative Decisions Foundation,United States,No,,,,,,2009,English,Double blind peer review,12,Publisher's own license,Attribution,FALSE,FALSE
Western Journal of Emergency Medicine,Western Journal of Emergency Medicine: Integrating Emergency Care with Population Health,"eScholarship Publishing, University of California",UC Irvine Health School of Medicine,United States,Yes,500,USD - US Dollar,,,,2000,English,Peer review,16,CC BY,,TRUE,TRUE
Theological Librarianship,An Online Journal of the American Theological Library Association ,American Theological Library Association,American Theological Library Association,United States,No,,,,,,2008,English,Double blind peer review,26,CC BY-NC,,TRUE,TRUE
Semantics and Pragmatics,S&P,Linguistic Society of America,Linguistic Society of America,United States,No,,,,,,2008,English,Double blind peer review,50,CC BY,,TRUE,TRUE
Digital Humanities Quarterly,,Alliance of Digital Humanities,,United States,No,,,,,,2007,English,Blind peer review,20,CC BY-ND,,TRUE,TRUE
Archnet-IJAR ,International Journal of Architectural Research: Archnet-IJAR ,Aga Khan Documentation Center,Massachusetts Institute of Technology,United States,No,,,,,,2007,English,Double blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
Journal of Transport and Land Use,JTLU,University of Minnesota,World Society for Transport and Land Use Research,United States,Yes,750,USD - US Dollar,,,,2008,English,Double blind peer review,30,CC BY-NC,,TRUE,TRUE
Journal of Veterinary Internal Medicine,,Wiley,American College of Veterinary Internal Medicine,United States,Yes,1650,USD - US Dollar,,,,2015,English,Blind peer review,22,CC BY-NC,,FALSE,FALSE
International Journal of Exercise Science,,Berkeley Electronic Press,,United States,No,,,,,,2008,English,Peer review,26,CC BY-ND,,FALSE,FALSE
Journal of Transnational American Studies,,"eScholarship Publishing, University of California",,United States,No,,,,,,2009,English,Peer review,16,CC BY,,TRUE,TRUE
Tropical Conservation Science,,SAGE Publishing,,United States,Yes,750,USD - US Dollar,,,,2008,English,Blind peer review,12,CC BY-NC,,FALSE,FALSE
The Plant Genome,,Crop Science Society of America,,United States,Yes,2100,USD - US Dollar,,,,2008,English,Blind peer review,15,CC BY-NC-ND,,FALSE,FALSE
RMLE Online: Research in Middle Level Education,,Taylor & Francis Group,Association for Middle Level Education,United States,No,,,,,,2016,English,Double blind peer review,12,CC BY-NC,,FALSE,FALSE
Code4Lib Journal,Code for Lib Journal,Code4Lib,,United States,No,,,,,,2007,English,Editorial review,13,CC BY,,TRUE,TRUE
Journal of Science Education for Students with Disabilities,JSESD,Rochester Institute of Technology,,United States,No,,,,,,2007,English,Blind peer review,8,CC BY,,TRUE,TRUE
Radical Teacher,,"University Library System, University of Pittsburgh",,United States,No,,,,,,2013,English,Double blind peer review,6,CC BY-NC-ND,,TRUE,TRUE
Transformative Works and Cultures ,,Organization for Transformative Works,,United States,No,,,,,,2008,English,Double blind peer review,30,CC BY-NC,,FALSE,FALSE
Scholarpedia,,Scholarpedia Corporation,,United States,No,,,,,,2006,English,Peer review,20,CC BY-NC-SA,,TRUE,TRUE
Journal of Collective Bargaining in the Academy,JCBA,National Center for the Study of Collective Bargaining in Higher Education and the Professions,,United States,No,,,,,,2009,English,Double blind peer review,26,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Communicative and Integrative Biology ,,Taylor & Francis Group,,United States,Yes,1950,USD - US Dollar,,,,2008,English,Blind peer review,6,CC BY-NC,,FALSE,FALSE
Journal of Advances in Modeling Earth Systems,,American Geophysical Union (AGU),,United States,Yes,1500,USD - US Dollar,,,,2009,English,Blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
Glossator: Practice and Theory of the Commentary,,Glossator,,United States,No,,,,,,2009,English,Blind peer review,24,CC BY,,TRUE,TRUE
Public Relations Journal ,,Insitute for Public Relations,Public Relations Society of America,United States,No,,,,,,2007,English,Blind peer review,8,CC BY-NC,,FALSE,FALSE
Marine and Coastal Fisheries,,Wiley,American Fisheries Society,United States,Yes,1800,USD - US Dollar,,,,2009,English,Blind peer review,26,CC BY,,FALSE,FALSE
Internetworking Indonesia Journal,IIJ,Internetworking Indonesia ,,United States,No,,,,,,2009,English,Blind peer review,30,CC BY-NC-ND,,TRUE,FALSE
IEEE Photonics Journal,,IEEE,IEEE Photonics Society,United States,Yes,1350,USD - US Dollar,,,,2013,English,Peer review,6,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Journal of Radiology Case Reports,Radiology Cases,EduRad Publishing,,United States,No,,,,,,2008,English,Double blind peer review,24,CC BY-NC-ND,,FALSE,FALSE
Roman Legal Tradition,,The Ames Foundation at the Harvard Law School,,United States,No,,,,,,2002,English,Editorial review,10,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Journal of Strategic Security,JSS,Henley-Putnam University,,United States,No,,,,,,2008,English,Double blind peer review,12,CC BY-NC,,TRUE,TRUE
Partnerships : A Journal of Service-Learning and Civic Engagement,,University of North Carolina at Greensboro,,United States,No,,,,,,2009,English,Editorial review,20,CC BY-NC-SA,,TRUE,TRUE
"The Baltic International Yearbook of Cognition, Logic and Communication",The Baltic Yearbook,New Prairie Press,"University of Latvia, Center for Cognitive Sciences and Semantics, Riga, Latvia",United States,No,,,,,,2007,English,Blind peer review,8,CC BY-NC-ND,,TRUE,TRUE
In the Library with the Lead Pipe,,In the Library with the Lead Pipe,,United States,No,,,,,,2008,English,Open peer review,12,CC BY,,TRUE,TRUE
Urban Library Journal,,Library Association of the City University of New York,,United States,No,,,,,,2007,English,Double blind peer review,16,CC BY,,TRUE,TRUE
L2 Journal,,"eScholarship Publishing, University of California","University of California, Berkeley",United States,No,,,,,,2009,English,Double blind peer review,16,CC BY-NC-ND,,TRUE,TRUE
Journal of Environmental Statistics,,UCLA Statistics,,United States,No,,,,,,2010,English,Double blind peer review,12,CC BY,,TRUE,TRUE
International Journal of Telerehabilitation,IJT,"University Library System, University of Pittsburgh",Rehabilitation Engineering Research Center,United States,No,,,,,,2009,English,Double blind peer review,10,CC BY,,TRUE,TRUE
"Inquiry: The Journal of Health Care Organization, Provision, and Financing",,SAGE Publishing,,United States,Yes,1500,USD - US Dollar,,,,2014,English,Double blind peer review,12,CC BY-NC,,FALSE,FALSE
Journal of Financial Therapy,,New Prairie Press,,United States,No,,,,,,2010,English,Blind peer review,29,CC BY-NC,,TRUE,TRUE
American Society for Aesthetics Graduate E-Journal,ASAGE,American Society for Aesthetics,,United States,No,,,,,,2008,English,Blind peer review,6,CC BY,,TRUE,TRUE
Mathematical and Computational Forestry and Natural-Resource Sciences,MCFNS,Contemporary Journal Concept Press,MCFNS Publishing Group,United States,Yes,400,USD - US Dollar,,,,2009,English,Double blind peer review,15,CC BY,,TRUE,TRUE
Practical Academic Librarianship ,PAL,Special Libraries Association (SLA),,United States,No,,,,,,2011,English,Blind peer review,10,CC BY,,TRUE,TRUE
Mamlūk Studies Review,,"Middle East Documentation Center (MEDOC), University of Chicago",,United States,No,,,,,,1997,English,Blind peer review,52,CC BY,,TRUE,TRUE
Online Journal of Public Health Informatics,,University of Illinois at Chicago ,,United States,Yes,350,USD - US Dollar,,,,2009,English,Double blind peer review,10,Publisher's own license,"Attribution, Share Alike, No Commercial Usage",TRUE,TRUE
Journal of Multidisciplinary Research,,St. Thomas University,,United States,No,,,,,,2009,English,Double blind peer review,8,CC BY-NC-ND,,TRUE,TRUE
Libertarian Papers,,Center for the Study of Innovative Freedom,,United States,No,,,,,,2009,English,Double blind peer review,10,CC BY,,TRUE,TRUE
Digital Defoe: Studies in Defoe and His Contemporaries,Digital Defoe: Studies in Defoe and His Contemporaries,Illinois State University,,United States,No,,,,,,2009,English,Double blind peer review,16,CC BY-NC-ND,,TRUE,TRUE
Frontiers of Biogeography,,International Biogeography Society,International Biogeography Society,United States,Yes,300,USD - US Dollar,,,,2009,English,Peer review,6,CC BY,,TRUE,TRUE
Educational Policy Analysis and Strategic Research,,International Association of Educators, International Association of Educators,United States,No,,,,,,2006,"English, Turkish",Blind peer review,20,CC BY,,FALSE,FALSE
Política Común,,Michigan Publishing,,United States,No,,,,,,2012,"English, Spanish; Castilian",Peer review,32,CC BY,,TRUE,TRUE
Journal of the American Heart Association : Cardiovascular and Cerebrovascular Disease,JAHA,Wiley,American Heart Association,United States,Yes,2000,USD - US Dollar,,,,2012,English,Peer review,12,CC BY-NC,,FALSE,FALSE
Food Science and Nutrition,,Wiley,,United States,Yes,2200,USD - US Dollar,,,,2013,English,Peer review,24,CC BY,,TRUE,TRUE
Sexual Medicine,,Elsevier,International Society for Sexual Medicine,United States,Yes,2500,USD - US Dollar,,,,2013,English,Double blind peer review,22,CC BY-NC-ND,,TRUE,TRUE
SAGE Open Medical Case Reports,,SAGE Publishing,,United States,Yes,445,USD - US Dollar,,,,2013,English,Blind peer review,8,CC BY-NC,,FALSE,FALSE
Physiological Reports,,Wiley,The American Physiological Society and the Physiological Society,United States,Yes,1500,USD - US Dollar,,,,2013,English,Peer review,9,CC BY,,TRUE,TRUE
Regeneration,,Wiley,,United States,Yes,2500,USD - US Dollar,,,,2014,English,Peer review,9,CC BY,,TRUE,TRUE
Acute Medicine and Surgery ,,Wiley,Japanese Association for Acute Medicine ,United States,Yes,2250,USD - US Dollar,,,,2017,English,Blind peer review,53,CC BY-NC-ND,,FALSE,FALSE
Research and Politics,,SAGE Publishing,,United States,No,,,,,,2014,English,Double blind peer review,12,CC BY-NC-ND,,TRUE,FALSE
Big Data and Society,,SAGE Publishing,,United States,Yes,800,USD - US Dollar,,,,2014,English,Double blind peer review,11,CC BY-NC-ND,,FALSE,FALSE
Canadian Journal of Kidney Health and Disease,,SAGE Publishing,Canadian Society of Nephrology,United States,Yes,1800,USD - US Dollar,,,,2014,English,Blind peer review,12,CC BY-NC,,FALSE,FALSE
Obesity Science and Practice,OSP,Wiley,"World Obesity, The Obesity Society",United States,Yes,2500,USD - US Dollar,,,,2015,English,Peer review,29,CC BY-NC-ND,,FALSE,FALSE
Evolution Letters,,Wiley,Society for the Study of Evolution; European Society for Evolutionary Biology,United States,Yes,2500,USD - US Dollar,,,,2017,English,Blind peer review,10,CC BY,,TRUE,TRUE
Global Challenges ,,Wiley,,United States,Yes,3500,USD - US Dollar,,,,2017,English,Blind peer review,16,CC BY,,TRUE,TRUE
Clinical and Experimental Dental Research,CEDR,Wiley,,United States,Yes,2250,USD - US Dollar,,,,2015,English,Double blind peer review,26,CC BY,,TRUE,TRUE
npj Vaccines,,Nature Publishing Group,Sealy Center for Vaccine Development at the University of Texas Medical Branch,United States,Yes,3300,USD - US Dollar,,,,2016,English,Blind peer review,11,CC BY,,TRUE,TRUE
International Journal of Medical Students,,International Journal of Medical Students,,United States,No,,,,,,2013,English,Double blind peer review,10,CC BY,,TRUE,TRUE
Journal of Primary Care and Community Health,Journal of Primary Care and Community Health,SAGE Publishing,,United States,Yes,900,USD - US Dollar,,,,2017,English,Double blind peer review,15,CC BY-NC,,FALSE,FALSE
Journal of Excipients and Food Chemicals,,International Pharmaceutical Excipients Council,International Pharmaceutical Excipients Council of the Americas,United States,No,,,,,,2010,English,Peer review,6,CC BY-NC-ND,,FALSE,FALSE
Teaching American Literature: A Journal of Theory and Practice,,Teaching American Literature: A Journal of Theory and Practice (TALTP),CPCC,United States,No,,,,,,2007,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Red Feather Journal,,Red Feather Journal,,United States,No,,,,,,2010,English,Blind peer review,10,CC BY,,TRUE,TRUE
Nonpartisan Education Review ,NPE Review,Nonpartisan Education Group,Nonpartisan Education Group,United States,No,,,,,,2005,English,Double blind peer review,4,CC BY-NC-ND,,TRUE,TRUE
mBio,,American Society for Microbiology,,United States,Yes,2250,USD - US Dollar,,,,2010,English,Blind peer review,12,CC BY,,TRUE,TRUE
Ecosphere,,Wiley,Ecological Society of America,United States,Yes,1500,USD - US Dollar,,,,2010,English,Blind peer review,15,CC BY,,TRUE,TRUE
Urbana: Urban Affairs and Public Policy,Urbana,Urbana: Urban Affairs and Public Policy,,United States,No,,,,,,2001,"English, Spanish; Castilian",Double blind peer review,12,CC BY,,TRUE,TRUE
Journal of Urban Mathematics Education,JUME,Georgia State University,,United States,No,,,,,,2008,English,Double blind peer review,23,Publisher's own license,"Attribution, No Commercial Usage",TRUE,TRUE
Geriatric Orthopaedic Surgery and Rehabilitation,,SAGE Publishing, AOTrauma; International Geriatric Fracture Society,United States,Yes,1200,USD - US Dollar,,,,2010,English,Double blind peer review,9,CC BY-NC,,FALSE,FALSE
Comparative Philosophy,,Center for Comparative Philosophy & University Library at San Jose State University,,United States,No,,,,,,2010,English,Blind peer review,30,Publisher's own license,,TRUE,TRUE
Frontiers in Heat and Mass Transfer,,Global Digital Central,,United States,No,,,,,,2010,English,Peer review,10,CC BY,,TRUE,TRUE
"Journal of Agriculture, Food Systems, and Community Development",JAFSCD,Thomas A. Lyson Center for Civic Agriculture and Food Systems,,United States,Yes,500,USD - US Dollar,,,,2010,English,Double blind peer review,15,CC BY,,TRUE,FALSE
Aging and Disease,A&D,Buck Institute for Age Research,,United States,Yes,2000,USD - US Dollar,,,,2010,English,Peer review,10,CC BY,,TRUE,TRUE
Allergy and Rhinology,,SAGE Publishing,,United States,Yes,750,USD - US Dollar,,,,2011,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
"First Opinions, Second Reactions",FOSR,Purdue University Press,,United States,No,,,,,,2008,English,Editorial review,13,CC BY-NC-ND,,FALSE,FALSE
Dialogue and Discourse,,Linguistic Society of America,Linguistic Society of America,United States,No,,,,,,2010,English,Blind peer review,12,CC BY,,TRUE,TRUE
International Journal of Prognostics and Health Management ,IJPHM,The Prognostics and Health Management Society,PHM Society,United States,No,,,,,,2010,English,Blind peer review,10,CC BY,,TRUE,TRUE
This Rough Magic,,This Rough Magic,,United States,No,,,,,,2010,English,Blind peer review,7,Publisher's own license,"Attribution, No Commercial Usage",TRUE,TRUE
Polymath: An Interdisciplinary Arts and Sciences Journal,,Southern Illinois University Edwardsville,"Southern Illinois University Edwardsville, College of Arts and Sciences",United States,No,,,,,,2011,English,Double blind peer review,48,CC BY,,TRUE,TRUE
Contemporaneity: Historical Presence in Visual Culture,,"University Library System, University of Pittsburgh",Department of History of Art & Architecture,United States,No,,,,,,2011,English,Double blind peer review,19,CC BY,,TRUE,TRUE
Journal of Southeast Asian American Education and Advancement,,Purdue University Press,"National Association for the Education and Advancement of Cambodian, Laotian, and Vietnamese Americans",United States,No,,,,,,2006,English,Blind peer review,24,CC BY-NC-ND,,FALSE,FALSE
Journal of African American Males in Education,JAAME,Journal of African American Males in Education,,United States,No,,,,,,2010,English,Blind peer review,12,Publisher's own license,,TRUE,TRUE
"Rhetoric, Professional Communication, and Globalization",,New Mexico State University,,United States,No,,,,,,2010,"English, Spanish; Castilian",Blind peer review,26,CC BY,,TRUE,TRUE
Excellence in Higher Education,,"University Library System, University of Pittsburgh",University of Pittsburgh,United States,No,,,,,,2010,English,Blind peer review,26,CC BY-NC-ND,,TRUE,TRUE
Transmodernity,,"eScholarship Publishing, University of California",UC Merced,United States,No,,,,,,2011,"English, Portuguese, Spanish; Castilian",Peer review,12,CC BY,,TRUE,TRUE
Journal of Western Archives,,Utah State University,Society of California Archivists; CIMA; SRMA; NWA,United States,No,,,,,,2010,English,Blind peer review,12,CC BY,,TRUE,TRUE
INNOVATIONS in Pharmacy,,University of Minnesota Libraries Publishing,,United States,No,,,,,,2010,English,Blind peer review,16,CC BY-NC,,TRUE,TRUE
Journal of French and Francophone Philosophy,Revue de la philosophie française et de langue française,"University Library System, University of Pittsburgh",Société Américaine de Philosophie de Langue Française (SAPLF),United States,No,,,,,,1989,"English, French",Double blind peer review,13,CC BY-NC-ND,,TRUE,TRUE
Clinical and Translational Gastroenterology,CTG,Nature Publishing Group,American College of Gastroenterology (ACG),United States,Yes,3400,USD - US Dollar,,,,2010,English,Blind peer review,16,CC BY-NC-ND,,FALSE,FALSE
Journal of Applied Research on Children,JARC,Children at Risk,Children at Risk,United States,No,,,,,,2011,English,Double blind peer review,16,CC BY-NC-ND,,FALSE,FALSE
Frontiers in Heat Pipes,,Global Digital Central,,United States,No,,,,,,2010,English,Peer review,10,CC BY,,TRUE,TRUE
Journal of Integrated Pest Management,,Oxford University Press,Entomological Society of America,United States,Yes,721,USD - US Dollar,,,,2010,English,Blind peer review,25,CC BY-NC-ND,,FALSE,FALSE
California Italian Studies,,"eScholarship Publishing, University of California",,United States,No,,,,,,2010,"English, Italian",Blind peer review,16,CC BY-NC,,TRUE,TRUE
Journal of Mathematics Education at Teachers College,,Teachers College,,United States,No,,,,,,2010,English,Blind peer review,8,Publisher's own license,"Attribution, No Derivatives",FALSE,FALSE
Journal of Evidence-Based Complementary and Alternative Medicine,JEBCAM,SAGE Publishing,,United States,Yes,1200,USD - US Dollar,,,,2016,English,Double blind peer review,15,CC BY-NC,,FALSE,FALSE
Biomedical Optics Express,,Optical Society of America (OSA),,United States,Yes,2360,USD - US Dollar,,,,2011,English,Blind peer review,10,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Études Ricoeuriennes / Ricoeur Studies,ERRS,"University Library System, University of Pittsburgh",Fonds Ricoeur and the Society for Ricoeur Studies,United States,No,,,,,,2010,"English, French",Double blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
International Journal for Court Administration,IJCA,Utrecht University Library Open Access Journals (Publishing Services), International Association for Court Administration (IACA),United States,No,,,,,,2008,English,Double blind peer review,16,CC BY,,TRUE,TRUE
Journal of Health and Pollution,,Pure Earth,,United States,No,,,,,,2011,English,Blind peer review,18,CC BY,,FALSE,FALSE
International Journal of Integrative Psychotherapy,,International Integrative Psychotherapy Association,International Integrative Psychotherapy Association,United States,No,,,,,,2010,English,Double blind peer review,8,CC BY,,TRUE,TRUE
International Journal of Critical Pedagogy,,University of North Carolina at Greensboro,UNCG Electronic Resources & Information Technologies,United States,No,,,,,,2010,English,Peer review,20,Publisher's own license,Attribution,FALSE,FALSE
Higher Learning Research Communications,HLRC Journal,Laureate Education Inc,,United States,No,,,,,,2011,"English, Spanish; Castilian",Double blind peer review,16,CC BY,,TRUE,TRUE
Stem Cells Translational Medicine,,Wiley,AlphaMed Press,United States,Yes,1750,USD - US Dollar,,,,2012,English,Blind peer review,24,CC BY-NC-ND,,TRUE,TRUE
Journal of Performing Arts Leadership in Higher Education,,Christopher Newport University,,United States,No,,,,,,2010,English,Blind peer review,17,CC BY-ND,,FALSE,FALSE
American Journal of Perinatology Reports,AJP reports,Thieme Medical Publishers,,United States,Yes,1045,USD - US Dollar,,,,2011,English,Blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
ABO : Interactive Journal for Women in the Arts 1640-1830,Aphra Behn Online,Aphra Behn Society,,United States,No,,,,,,2011,English,Peer review,9,CC BY-NC-ND,,TRUE,TRUE
Journal of Pre-College Engineering Education Research,J-PEER,Purdue University Press,,United States,No,,,,,,2011,English,Double blind peer review,32,CC BY-NC-ND,,FALSE,FALSE
International Journal of Biomedicine,IJBM,International Medical Research and Development Corporation,,United States,Yes,400,USD - US Dollar,,,,2011,English,Peer review,8,Publisher's own license,"Attribution, No Commercial Usage",TRUE,FALSE
Journal of International and Global Studies,,Lindenwood University,,United States,No,,,,,,2009,English,Double blind peer review,16,Publisher's own license,,FALSE,FALSE
Journal of Jazz Studies,,Rutgers University Libraries,Rutgers University,United States,No,,,,,,2011,English,Double blind peer review,20,CC BY-NC,,TRUE,TRUE
Trans-Asia Photography Review ,TAP Review,Michigan Publishing,,United States,No,,,,,,2010,English,Double blind peer review,26,CC BY-NC-ND,,TRUE,TRUE
SAGE Open,,SAGE Publishing,,United States,Yes,395,USD - US Dollar,,,,2011,English,Double blind peer review,12,CC BY,,TRUE,TRUE
AIP Advances,,AIP Publishing LLC,American Institute of Physics,United States,Yes,1350,USD - US Dollar,,,,2011,English,Peer review,9,CC BY,,TRUE,TRUE
Humanist Studies and The Digital Age,,Oregon Digital,University of Oregon,United States,No,,,,,,2011,"English, Italian",Double blind peer review,24,CC BY-ND,,TRUE,TRUE
Journal of Information Policy,,Pennsylvania State University,,United States,No,,,,,,2011,English,Double blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Journal of Purdue Undergraduate Research,JPUR,Purdue University Press,,United States,No,,,,,,2011,English,Peer review,22,CC BY-NC-ND,,TRUE,TRUE
Journal of Feminist Scholarship,,"University of Massachusetts, Dartmouth",,United States,No,,,,,,2011,English,Double blind peer review,52,CC BY-ND,,TRUE,TRUE
Journal of Learning Spaces,,University of North Carolina at Greensboro,,United States,No,,,,,,2011,English,Peer review,45,CC BY,,TRUE,TRUE
International Journal of Russian Studies,,International Journal of Russian Studies,,United States,No,,,,,,2012,"English, Russian, Turkish",Blind peer review,24,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",FALSE,FALSE
Emerging Markets Journal,EMAJ,"University Library System, University of Pittsburgh",,United States,No,,,,,,2011,English,Double blind peer review,12,CC BY,,TRUE,TRUE
Atlas Journal of Biology,,"Atlas Publishing, LLC",,United States,Yes,315,USD - US Dollar,,,,2010,English,Open peer review,8,CC BY,,TRUE,TRUE
